city_url,province,city,brand,dlrid,shortname,400phone,address,url,updatetime
https://dealer.autohome.com.cn/zhanjiang/0/62/0/0/1/0/0/0.html,广东,湛江,东风悦达起亚,66442,湛江金富东森起亚4S店,400-866-2445,湛江市赤坎区双港路15号（湛江市赤坎区双港路15号（海田车站往广州方向800米左侧）,https://dealer.autohome.com.cn/66442/#pvareaid=2113601,2020-02-20 16:55:26
https://dealer.autohome.com.cn/zhangzhou/0/62/0/0/1/0/0/0.html,福建,漳州,东风悦达起亚,10125,漳州南龙汽车,400-868-6130,漳州市龙文区迎宾大道云洞岩路口西侧200米处,https://dealer.autohome.com.cn/10125/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/zhuhai/0/62/0/0/1/0/0/0.html,广东,珠海,东风悦达起亚,66443,珠海广大昌汽车,400-830-6949,上冲外国际车城南溪对面,https://dealer.autohome.com.cn/66443/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/xiamen/0/62/0/0/1/0/0/0.html,福建,厦门,东风悦达起亚,2016913,厦门华骏起亚,400-868-3630,厦门市海沧区坪埕东路39号,https://dealer.autohome.com.cn/2016913/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/shenzhen/0/62/0/0/1/0/0/0.html,广东,深圳,东风悦达起亚,2103624,深圳九意起亚4S店,400-860-1294,横岗信义汽车城29A东风悦达起亚,https://dealer.autohome.com.cn/2103624/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/shenzhen/0/62/0/0/1/0/0/0.html,广东,深圳,东风悦达起亚,129171,深圳润朋起亚,400-868-6052,深圳市宝安区福永街道怀德南路2号（东方国际车城内）,https://dealer.autohome.com.cn/129171/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/shenzhen/0/62/0/0/1/0/0/0.html,广东,深圳,东风悦达起亚,1059,深圳汇天源,400-868-3957,深圳市福田区红荔西路联合华鹏汽车广场B2-2A,https://dealer.autohome.com.cn/1059/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/quanzhou/0/62/0/0/1/0/0/0.html,福建,泉州,东风悦达起亚,2100698,丰瑞起亚4S店,400-868-3002,福建省泉州市鲤城区常泰路60号,https://dealer.autohome.com.cn/2100698/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/quanzhou/0/62/0/0/1/0/0/0.html,福建,泉州,东风悦达起亚,10123,泉州汇京起亚,400-897-2433,泉州市清濛开发区南迎宾大道泉三高速泉州南出口（往市区方向100米）,https://dealer.autohome.com.cn/10123/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/quanzhou/0/62/0/0/1/0/0/0.html,福建,泉州,东风悦达起亚,63115,泉州亿海起亚4S店,400-868-7116,晋江五里工业区社马路段（季延中学往马坪方向2公里）,https://dealer.autohome.com.cn/63115/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/jiangmen/0/62/0/0/1/0/0/0.html,广东,江门,东风悦达起亚,2078455,江门永濠起亚,400-830-3728,江门市蓬江区华鸿汽车城11栋,https://dealer.autohome.com.cn/2078455/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/su_zhou/0/62/0/0/1/0/0/0.html,安徽,宿州,东风悦达起亚,2029903,宿州市亿之豪,400-997-3414,安徽省宿州市埇桥区循环经济示范园仁和路东侧1000米,https://dealer.autohome.com.cn/2029903/#pvareaid=2113601,2020-02-20 16:55:27
https://dealer.autohome.com.cn/guangzhou/0/62/0/0/1/0/0/0.html,广东,广州,东风悦达起亚,2077048,广州骅亚,400-897-2061,广州市天河区黄埔大道东255号,https://dealer.autohome.com.cn/2077048/#pvareaid=2113601,2020-02-20 16:55:27
